Year	271442	2013
Year	105335	2012
Year	19259	2011
Year	11675	1970
Year	10146	2010
Year	7721	2009
Year	7472	2008
Year	5972	2007
Year	4545	2014
Year	4387	2006
Year	2679	2004
Year	2554	2000
Year	2527	2005
Year	2220	2003
Year	1644	2002
Year	1505	1000
Year	1460	1990
Year	1422	2001
Year	1383	2016
Year	1376	1980
Year	1170	1992
Year	1164	1954
Year	1106	1977
Year	1049	1999
Year	1048	1960
Year	960	2015
Year	925	1994
Year	919	1998
Year	914	1996
Year	904	1950
Year	875	1997
Year	849	1953
Year	849	1993
Year	763	1080
Year	747	1991
Year	736	1989
Year	728	1838
Year	727	1772
Year	695	1995
Year	664	1212
Year	641	1976
Year	598	1762
Year	596	1988
Year	587	1712
Year	579	2320
Year	577	7820
Year	571	1986
Year	553	1979
Year	536	1947
Year	528	1967
Year	526	1984
Year	521	1958
Year	516	1969
Year	510	1930
Year	500	1968
Year	499	1974
Year	470	1982
Year	466	1975
Year	466	1987
Year	459	1946
Year	437	1981
Year	436	1985
Year	427	1965
Year	427	1971
Year	414	1759
Year	409	1834
Year	394	1973
Year	385	1940
Year	381	1972
Year	375	1983
Year	374	1963
Year	374	1964
Year	366	1978
Year	364	1760
Year	345	1952
Year	344	3000
Year	341	1234
Year	331	2020
Year	326	2017
Year	307	5000
Year	300	1949
Year	293	1966
Year	286	1942
Year	277	1961
Year	269	1500
Year	264	1800
Year	261	1956
Year	251	1235
Year	246	1400
Year	229	1920
Year	229	1957
Year	226	2025
Year	220	1948
Year	219	1945
Year	216	1776
Year	210	2500
Year	208	1934
Year	208	2050
Year	207	1076
Year	206	1200
Year	198	1962
Year	192	4000
Year	191	1900
Year	180	2018
Year	172	1840
Year	171	1955
Year	163	1769
Year	162	1600
Year	162	2381
Year	161	1359
Year	157	1011
Year	157	2102
Year	154	1067
Year	153	1897
Year	152	2030
Year	145	1062
Year	145	1939
Year	144	2104
Year	142	1001
Year	141	1601
Year	140	1012
Year	138	1944
Year	137	1951
Year	136	1943
Year	135	1026
Year	134	1023
Year	133	1025
Year	133	1959
Year	132	1936
Year	130	1010
Year	130	1937
Year	130	2100
Year	129	9000
Year	128	1509
Year	126	2593
Year	125	1027
Year	124	1065
Year	124	1066
Year	124	1911
Year	124	1938
Year	123	1069
Year	122	1063
Year	122	1217
Year	121	1016
Year	118	1003
Year	118	1362
Year	117	1231
Year	117	1621
Year	116	1223
Year	116	1929
Year	115	1192
Year	114	1508
Year	113	1072
Year	112	1218
Year	110	1871
Year	109	5432
Year	107	1032
Year	107	1070
Year	106	1074
Year	106	1182
Year	106	1541
Year	105	1009
Year	105	1020
Year	105	1021
Year	105	1219
Year	105	1878
Year	104	1073
Year	104	1884
Year	104	1913
Year	103	1015
Year	102	1068
Year	101	1071
Year	101	1216
Year	101	1933
Year	101	1941
Year	100	1017
Year	100	1064
Year	100	1075
Year	100	1222
Year	100	1935
Year	99	1024
Year	99	1837
Year	99	4916
Year	98	1051
Year	98	1060
Year	98	1225
Year	98	1932
Year	97	1008
Year	97	1019
Year	97	2713
Year	96	1220
Year	95	2217
Year	94	0946
Year	94	1013
Year	94	1014
Year	93	1233
Year	92	1224
Year	92	1300
Year	91	1890
Year	90	1041
Year	90	1228
Year	90	1768
Year	90	1832
Year	89	1018
Year	89	1360
Year	89	1908
Year	89	1922
Year	88	1199
Year	88	1227
Year	87	1232
Year	87	1770
Year	86	1044
Year	86	1150
Year	86	1549
Year	85	1022
Year	84	1230
Year	84	1337
Year	84	1829
Year	84	1836
Year	84	1924
Year	84	1928
Year	82	1042
Year	82	1221
Year	82	1258
Year	82	1361
Year	81	1002
Year	79	1190
Year	78	1187
Year	78	1195
Year	78	1875
Year	78	1917
Year	78	1925
Year	77	1185
Year	77	1229
Year	77	1301
Year	77	1700
Year	76	1184
Year	76	1882
Year	75	1188
Year	74	1181
Year	74	1196
Year	74	1226
Year	74	1350
Year	74	1354
Year	74	2022
Year	73	1193
Year	72	1183
Year	72	1186
Year	72	1191
Year	72	1197
Year	72	1351
Year	72	1766
Year	71	1035
Year	71	1189
Year	71	1314
Year	71	1352
Year	71	1353
Year	71	1758
Year	71	1801
Year	71	1822
Year	71	1918
Year	71	1923
Year	70	1040
Year	70	1194
Year	70	1771
Year	70	2077
Year	69	1100
Year	69	1198
Year	69	1358
Year	69	1887
Year	69	1926
Year	69	9999
Year	68	1059
Year	68	1355
Year	67	1057
Year	67	1349
Year	67	1857
Year	67	7000
Year	67	9021
Year	66	1028
Year	66	1058
Year	66	1061
Year	66	1914
Year	65	0000
Year	65	1081
Year	65	1111
Year	65	1604
Year	65	1808
Year	64	1033
Year	64	1039
Year	64	1336
Year	64	1356
Year	64	1363
Year	64	1833
Year	64	1901
Year	64	1912
Year	64	2468
Year	63	1357
Year	63	1880
Year	62	1367
Year	62	1902
Year	62	2335
Year	61	1037
Year	61	1043
Year	61	1805
Year	60	1038
Year	60	1236
Year	60	1364
Year	60	1366
Year	60	1469
Year	60	2061
Year	59	1030
Year	59	1034
Year	59	1910
Year	59	6000
Year	58	1029
Year	58	1365
Year	58	1502
Year	58	3147
Year	57	1031
Year	57	1368
Year	57	1452
Year	57	1507
Year	56	1328
Year	56	1889
Year	55	1207
Year	55	1305
Year	55	1820
Year	55	1865
Year	54	0800
Year	54	1036
Year	54	1915
Year	53	1313
Year	53	1503
Year	53	1850
Year	53	2021
Year	53	2261
Year	52	1415
Year	52	1757
Year	52	1921
Year	52	1927
Year	51	1250
Year	51	1432
Year	51	1504
Year	51	1781
Year	51	1825
Year	50	1211
Year	50	1501
Year	50	1506
Year	50	1548
Year	49	1052
Year	49	1492
Year	49	1764
Year	49	1812
Year	49	1905
Year	49	1909
Year	49	1931
Year	48	1078
Year	48	1205
Year	48	1450
Year	48	1490
Year	48	1873
Year	47	1155
Year	47	1215
Year	47	1457
Year	47	1789
Year	47	1815
Year	47	1907
Year	47	1919
Year	46	1497
Year	46	1895
Year	45	1201
Year	45	1248
Year	45	1340
Year	44	1346
Year	44	1459
Year	44	1688
Year	43	0900
Year	43	1307
Year	43	1453
Year	43	1515
Year	43	1529
Year	43	1830
Year	43	1844
Year	42	1079
Year	42	1335
Year	42	1435
Year	42	1505
Year	42	1750
Year	42	1792
Year	42	2442
Year	41	1005
Year	41	1180
Year	41	1310
Year	41	1888
Year	41	8000
Year	40	1077
Year	40	1302
Year	40	1304
Year	40	1318
Year	40	1319
Year	40	1464
Year	40	1499
Year	39	1127
Year	39	1332
Year	39	1456
Year	39	1906
Year	38	0942
Year	38	1053
Year	38	1112
Year	38	1321
Year	38	1374
Year	38	1839
